FIPS,state,stateAbr,county,metro,totEmp,ccShare,totEmpTh
1001,Alabama,AL,Autauga County,1,24140,0.23529,24.14
1003,Alabama,AL,Baldwin County,0,79965,0.2568,79.965
1005,Alabama,AL,Barbour County,0,9635,0.15413,9.635
1007,Alabama,AL,Bibb County,1,9355,0.14484,9.355
1009,Alabama,AL,Blount County,1,24175,0.16918,24.175
1011,Alabama,AL,Bullock County,0,4005,0.14732,4.005
1013,Alabama,AL,Butler County,0,8075,0.14551,8.075
1015,Alabama,AL,Calhoun County,1,47595,0.19141,47.595
1017,Alabama,AL,Chambers County,0,13570,0.16433,13.57
1019,Alabama,AL,Cherokee County,0,10370,0.19527,10.37
1021,Alabama,AL,Chilton County,1,18050,0.19058,18.05
1023,Alabama,AL,Choctaw County,0,4440,0.1509,4.44
1025,Alabama,AL,Clarke County,0,8490,0.18905,8.49
1027,Alabama,AL,Clay County,0,5610,0.11585999999999999,5.61
1029,Alabama,AL,Cleburne County,0,5995,0.14429,5.995
1031,Alabama,AL,Coffee County,0,19380,0.18989,19.38
1033,Alabama,AL,Colbert County,1,22320,0.16308,22.32
1035,Alabama,AL,Conecuh County,0,4030,0.18486,4.03
1037,Alabama,AL,Coosa County,0,4425,0.10507999999999999,4.425
1039,Alabama,AL,Covington County,0,15320,0.17363,15.32
1041,Alabama,AL,Crenshaw County,0,5885,0.17757,5.885
1043,Alabama,AL,Cullman County,0,33205,0.1569,33.205
1045,Alabama,AL,Dale County,0,19745,0.15067,19.745
1047,Alabama,AL,Dallas County,0,14865,0.14665,14.865
1049,Alabama,AL,DeKalb County,0,28745,0.12924000000000002,28.745
1051,Alabama,AL,Elmore County,1,33540,0.24731999999999998,33.54
1053,Alabama,AL,Escambia County,0,13095,0.16113,13.095
1055,Alabama,AL,Etowah County,1,40620,0.17010999999999998,40.62
1057,Alabama,AL,Fayette County,0,6725,0.14498,6.725
1059,Alabama,AL,Franklin County,0,13280,0.125,13.28
1061,Alabama,AL,Geneva County,1,11235,0.16021,11.235
1063,Alabama,AL,Greene County,1,2925,0.13162000000000001,2.925
1065,Alabama,AL,Hale County,1,5735,0.10898,5.735
1067,Alabama,AL,Henry County,1,6680,0.19237,6.68
1069,Alabama,AL,Houston County,1,44250,0.19705999999999999,44.25
1071,Alabama,AL,Jackson County,0,22000,0.14614000000000002,22.0
1073,Alabama,AL,Jefferson County,1,297765,0.25654,297.765
1075,Alabama,AL,Lamar County,0,5785,0.14434,5.785
1077,Alabama,AL,Lauderdale County,1,39300,0.18397,39.3
1079,Alabama,AL,Lawrence County,1,14000,0.15536,14.0
1081,Alabama,AL,Lee County,1,62255,0.24054,62.255
1083,Alabama,AL,Limestone County,1,34540,0.24088,34.54
1085,Alabama,AL,Lowndes County,1,3905,0.12675999999999998,3.905
1087,Alabama,AL,Macon County,0,8110,0.13502,8.11
1089,Alabama,AL,Madison County,1,157335,0.33555999999999997,157.335
1091,Alabama,AL,Marengo County,0,7660,0.15600999999999998,7.66
1093,Alabama,AL,Marion County,0,11880,0.14184000000000002,11.88
1095,Alabama,AL,Marshall County,0,38480,0.18567999999999998,38.48
1097,Alabama,AL,Mobile County,1,173345,0.21070999999999998,173.345
1099,Alabama,AL,Monroe County,0,8245,0.14494,8.245
1101,Alabama,AL,Montgomery County,1,101275,0.25351999999999997,101.275
1103,Alabama,AL,Morgan County,1,53275,0.20665999999999998,53.275
1105,Alabama,AL,Perry County,0,3225,0.11317999999999999,3.225
1107,Alabama,AL,Pickens County,0,7050,0.1383,7.05
1109,Alabama,AL,Pike County,0,14135,0.1758,14.135
1111,Alabama,AL,Randolph County,0,9120,0.15899000000000002,9.12
1113,Alabama,AL,Russell County,1,21055,0.13488,21.055
1115,Alabama,AL,St. Clair County,1,35415,0.21333000000000002,35.415
1117,Alabama,AL,Shelby County,1,96110,0.34414,96.11
1119,Alabama,AL,Sumter County,0,4925,0.1401,4.925
1121,Alabama,AL,Talladega County,0,31605,0.15567,31.605
1123,Alabama,AL,Tallapoosa County,0,17690,0.16874,17.69
1125,Alabama,AL,Tuscaloosa County,1,85725,0.20583,85.725
1127,Alabama,AL,Walker County,1,24775,0.13460999999999998,24.775
1129,Alabama,AL,Washington County,0,6340,0.1317,6.34
1131,Alabama,AL,Wilcox County,0,2635,0.13093,2.635
1133,Alabama,AL,Winston County,0,9485,0.16710999999999998,9.485
2013,Alaska,AK,Aleutians East Borough,0,2560,0.0332,2.56
2016,Alaska,AK,Aleutians West Census Area,0,4020,0.10447999999999999,4.02
2020,Alaska,AK,Anchorage Municipality,1,144395,0.27009,144.395
2050,Alaska,AK,Bethel Census Area,0,6100,0.19097999999999998,6.1
2060,Alaska,AK,Bristol Bay Borough,0,530,0.30189,0.53
2068,Alaska,AK,Denali Borough,0,1005,0.27363000000000004,1.005
2070,Alaska,AK,Dillingham Census Area,0,1855,0.22641999999999998,1.855
2090,Alaska,AK,Fairbanks North Star Borough,1,45415,0.23792,45.415
2100,Alaska,AK,Haines Borough,0,1295,0.26255,1.295
2110,Alaska,AK,Juneau City and Borough,0,17350,0.2928,17.35
2122,Alaska,AK,Kenai Peninsula Borough,0,25055,0.20096,25.055
2130,Alaska,AK,Ketchikan Gateway Borough,0,6505,0.20523000000000002,6.505
2150,Alaska,AK,Kodiak Island Borough,0,6220,0.14228,6.22
2164,Alaska,AK,Lake and Peninsula Borough,0,710,0.14085,0.71
2170,Alaska,AK,Matanuska-Susitna Borough,1,38300,0.22154000000000001,38.3
2180,Alaska,AK,Nome Census Area,0,3610,0.18420999999999998,3.61
2185,Alaska,AK,North Slope Borough,0,4035,0.22305,4.035
2188,Alaska,AK,Northwest Arctic Borough,0,2580,0.13178,2.58
2201,Alaska,AK,Prince of Wales-Outer Ketchikan Census A,0,2480,0.21169000000000002,2.48
2220,Alaska,AK,Sitka City and Borough,0,4835,0.24301999999999999,4.835
2232,Alaska,AK,Skagway-Hoonah-Angoon Census Area,0,735,0.2449,0.735
2240,Alaska,AK,Southeast Fairbanks Census Area,0,3105,0.18841,3.105
2261,Alaska,AK,Valdez-Cordova Census Area,0,4565,0.22453,4.565
2270,Alaska,AK,Wade Hampton Census Area,0,2030,0.11823,2.03
2280,Alaska,AK,Wrangell-Petersburg Census Area,0,1165,0.21888000000000002,1.165
2282,Alaska,AK,Yakutat City and Borough,0,490,0.19388,0.49
2290,Alaska,AK,Yukon-Koyukuk Census Area,0,2025,0.19505999999999998,2.025
4001,Arizona,AZ,Apache County,0,19205,0.12549000000000002,19.205
4003,Arizona,AZ,Cochise County,0,48435,0.23526,48.435
4005,Arizona,AZ,Coconino County,1,65120,0.22919,65.12
4007,Arizona,AZ,Gila County,0,18355,0.15037,18.355
4009,Arizona,AZ,Graham County,0,12325,0.18215,12.325
4011,Arizona,AZ,Greenlee County,0,3330,0.11712,3.33
4012,Arizona,AZ,La Paz County,0,6910,0.13025,6.91
4013,Arizona,AZ,Maricopa County,1,1736115,0.28144,1736.115
4015,Arizona,AZ,Mohave County,0,73760,0.1833,73.76
4017,Arizona,AZ,Navajo County,0,35755,0.17802,35.755
4019,Arizona,AZ,Pima County,1,420205,0.2604,420.205
4021,Arizona,AZ,Pinal County,1,128155,0.22149000000000002,128.155
4023,Arizona,AZ,Santa Cruz County,0,16985,0.1834,16.985
4025,Arizona,AZ,Yavapai County,1,86200,0.23683,86.2
4027,Arizona,AZ,Yuma County,1,68215,0.17115,68.215
5001,Arkansas,AR,Arkansas County,0,8965,0.17010999999999998,8.965
5003,Arkansas,AR,Ashley County,0,8710,0.14868,8.71
5005,Arkansas,AR,Baxter County,0,15440,0.22345,15.44
5007,Arkansas,AR,Benton County,1,99465,0.25481,99.465
5009,Arkansas,AR,Boone County,0,15810,0.19102,15.81
5011,Arkansas,AR,Bradley County,0,4745,0.16544,4.745
5013,Arkansas,AR,Calhoun County,0,2345,0.09595,2.345
5015,Arkansas,AR,Carroll County,0,12045,0.17518,12.045
5017,Arkansas,AR,Chicot County,0,3950,0.11772,3.95
5019,Arkansas,AR,Clark County,0,10020,0.19062,10.02
5021,Arkansas,AR,Clay County,0,6460,0.1548,6.46
5023,Arkansas,AR,Cleburne County,0,9845,0.15185,9.845
5025,Arkansas,AR,Cleveland County,1,3380,0.17456,3.38
5027,Arkansas,AR,Columbia County,0,9895,0.17937999999999998,9.895
5029,Arkansas,AR,Conway County,0,8085,0.12120999999999998,8.085
5031,Arkansas,AR,Craighead County,1,43230,0.21409,43.23
5033,Arkansas,AR,Crawford County,1,26725,0.16595,26.725
5035,Arkansas,AR,Crittenden County,1,20865,0.15768,20.865
5037,Arkansas,AR,Cross County,0,7755,0.11025,7.755
5039,Arkansas,AR,Dallas County,0,2780,0.16906,2.78
5041,Arkansas,AR,Desha County,0,5365,0.14632,5.365
5043,Arkansas,AR,Drew County,0,7800,0.17436,7.8
5045,Arkansas,AR,Faulkner County,1,53485,0.24624000000000001,53.485
5047,Arkansas,AR,Franklin County,1,7145,0.12596,7.145
5049,Arkansas,AR,Fulton County,0,4530,0.13797,4.53
5051,Arkansas,AR,Garland County,1,39255,0.20265,39.255
5053,Arkansas,AR,Grant County,1,8075,0.15728,8.075
5055,Arkansas,AR,Greene County,0,17745,0.15695,17.745
5057,Arkansas,AR,Hempstead County,0,9935,0.11424000000000001,9.935
5059,Arkansas,AR,Hot Spring County,0,13165,0.14812,13.165
5061,Arkansas,AR,Howard County,0,6230,0.12680999999999998,6.23
5063,Arkansas,AR,Independence County,0,15435,0.17072,15.435
5065,Arkansas,AR,Izard County,0,4775,0.16859000000000002,4.775
5067,Arkansas,AR,Jackson County,0,6070,0.12272999999999999,6.07
5069,Arkansas,AR,Jefferson County,1,30250,0.15420999999999999,30.25
5071,Arkansas,AR,Johnson County,0,10340,0.10203,10.34
5073,Arkansas,AR,Lafayette County,0,2705,0.11275,2.705
5075,Arkansas,AR,Lawrence County,0,6515,0.11127999999999999,6.515
5077,Arkansas,AR,Lee County,0,3030,0.08086,3.03
5079,Arkansas,AR,Lincoln County,1,4415,0.10192999999999999,4.415
5081,Arkansas,AR,Little River County,0,5725,0.1179,5.725
5083,Arkansas,AR,Logan County,0,8920,0.12668,8.92
5085,Arkansas,AR,Lonoke County,1,30880,0.20207,30.88
